pub_yearmonth,Team/League Updates,Coaching Updates & Contraversies,Schedules & Power Rankings,How to Watch
2016-02,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.38461538461538464
2016-03,0.36666666666666664,0.3333333333333333,0.2,0.1
2016-04,0.1774193548387097,0.27419354838709675,0.1774193548387097,0.3709677419354839
2016-05,0.02631578947368421,0.2894736842105263,0.13157894736842105,0.5526315789473685
2016-06,0.044444444444444446,0.37777777777777777,0.15555555555555556,0.4222222222222222
2016-07,0.1509433962264151,0.20754716981132076,0.1320754716981132,0.5094339622641509
2016-08,0.031496062992125984,0.36220472440944884,0.18110236220472442,0.4251968503937008
2016-09,0.0392156862745098,0.21568627450980393,0.16666666666666666,0.5784313725490197
2016-10,0.04411764705882353,0.3088235294117647,0.10294117647058823,0.5441176470588235
2016-11,0.0,0.43478260869565216,0.043478260869565216,0.5217391304347826
2016-12,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.3333333333333333
2017-01,0.3953488372093023,0.16279069767441862,0.11627906976744186,0.32558139534883723
2017-02,0.0,0.15384615384615385,0.4230769230769231,0.4230769230769231
2017-03,0.0,0.2857142857142857,0.2571428571428571,0.45714285714285713
2017-04,0.09230769230769231,0.2153846153846154,0.36923076923076925,0.3230769230769231
2017-05,0.03389830508474576,0.423728813559322,0.11864406779661017,0.423728813559322
2017-06,0.28,0.16,0.08,0.48
2017-07,0.125,0.03125,0.15625,0.6875
2017-08,0.2647058823529412,0.14705882352941177,0.23529411764705882,0.35294117647058826
2017-09,0.06896551724137931,0.3275862068965517,0.10344827586206896,0.5
2017-10,0.019230769230769232,0.19230769230769232,0.15384615384615385,0.6346153846153846
2017-11,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.6333333333333333
2017-12,0.0,0.4,0.2,0.4
2018-01,0.30612244897959184,0.32653061224489793,0.16326530612244897,0.20408163265306123
2018-02,0.0,0.15789473684210525,0.3684210526315789,0.47368421052631576
2018-03,0.02564102564102564,0.2564102564102564,0.28205128205128205,0.4358974358974359
2018-04,0.0,0.375,0.125,0.5
2018-05,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556
2018-06,0.18181818181818182,0.0,0.2727272727272727,0.5454545454545454
2018-07,0.047619047619047616,0.14285714285714285,0.2857142857142857,0.5238095238095238
2018-08,0.05714285714285714,0.17142857142857143,0.2571428571428571,0.5142857142857142
2018-09,0.0,0.21951219512195122,0.24390243902439024,0.5365853658536586
2018-10,0.0,0.27906976744186046,0.16279069767441862,0.5581395348837209
2018-11,0.0,0.4,0.0,0.6
2018-12,0.0,0.42857142857142855,0.21428571428571427,0.35714285714285715
2019-01,0.3125,0.125,0.125,0.4375
2019-02,0.0,0.4375,0.0625,0.5
2019-03,0.11363636363636363,0.36363636363636365,0.22727272727272727,0.29545454545454547
2019-04,0.11363636363636363,0.2727272727272727,0.38636363636363635,0.22727272727272727
2019-05,0.09090909090909091,0.24242424242424243,0.3333333333333333,0.3333333333333333
2019-06,0.13924050632911392,0.25316455696202533,0.10126582278481013,0.5063291139240507
2019-07,0.12280701754385964,0.25146198830409355,0.19883040935672514,0.4269005847953216
2019-08,0.32075471698113206,0.1509433962264151,0.2830188679245283,0.24528301886792453
2019-09,0.12195121951219512,0.12195121951219512,0.3170731707317073,0.43902439024390244
2019-10,0.07352941176470588,0.10294117647058823,0.25,0.5735294117647058
